name,id,price,hash,rarityScore,rarityRank
Clay Nation #7465,7465,x,QmYqrRLTSVga4BYxbEf3sD7JBYA3saCL1gNWqJUNkPdkGv,88,94
Clay Nation #0951,951,18495,QmRGGYwgxzNV4yzA6YdwD7vCVRAnZqgrP3Aqxn7fAHVpXM,88,95
Clay Nation #3335,3335,x,QmQaLuDqcACbkxeB7skV2TCRJG6oyxyCkcsWQFSNT9yWs1,88,96
Clay Nation #8483,8483,x,QmTqo2C1i58tEqJWbe8bvZpUMa3KNCRyEa48RU1vQZkoMo,88,97
Clay Nation #8756,8756,x,QmVAhGm2ft11fHfUxDeujWFoPfh5zC7HodxqQCkQ1gcF9v,88,98
Clay Nation #4911,4911,x,QmY2yJJfiys9fvhbHu3iSPem5ecx6UWgAqrjVNTSWBc1y7,88,99
Clay Nation #4468,4468,59999,Qmb7njVVe2LsTsjkm1roAiVyYxnwi8iPFsXdxwPQ7HjEq3,88,100
Clay Nation #0446,446,16500,QmTxUwprYTtQa1GBCtg8zwrXDzWimuaLdoktbEmjgocQdL,88,101
Clay Nation #2275,2275,x,QmbhgtpzWApkk4mRGJdvdEVyVe3P7uFUg9vSW6MDK68jZE,88,102
Clay Nation #9693,9693,17990.01,QmY9SkDUHQ4SzXra7cAuqSKtVH5XBjEUv4AnkT8u6boHPX,88,103
Clay Nation #3700,3700,x,QmZUD2VodNTCusMikpKKfJizxgxxEWyDCwAHuiuc91NRTg,88,104
Clay Nation #5224,5224,x,QmTKP9FqPE6Zjh5id8dkT9ChAXESTPAtEZFNsYQWhuotVm,88,105
Clay Nation #6796,6796,x,QmdLwUFWrFpM5b1nyHn4BZpSm4tec8rsM6gAtWmN86Pvzm,88,106
Clay Nation #3846,3846,x,QmUZe3vuXK9B6byoi3eeQwthbShP2g8BXq6QeRoCw8wHBZ,88,107
Clay Nation #5400,5400,x,QmWskrCsxFD84He1a98U82PkUTtfPcz1fojwai3KUVVt59,88,108
Clay Nation #8691,8691,79700,QmRJudeo7NNazRTg4vr4ryADqVYdyXpiNvKddKvMA4ww4V,88,109
Clay Nation #6325,6325,x,QmYezjWAu18WcgVUcX9npfWtVDQ3iRJwqd4JZ6QV4SaDL6,88,110
Clay Nation #6774,6774,x,Qmf9jdkmfYgUBqjHeNZgDAWAU8YZTJuebkHECqmvyYqfEB,88,111
Clay Nation #6260,6260,15000,QmSrRTh3y2KvbMaBCyNpTggjhchdc7fcrQ2toknfpKUYPZ,88,112
Clay Nation #3413,3413,x,QmYiv3rCu2D1p9RLN6cNn7dzn3tiPBRz5iw69WhLX7fFHC,88,113
Clay Nation #7504,7504,1200000,QmW77k4eubn5PXsfYfaePkgZiWnrsVx8svJfAwrmzka61A,88,114
Clay Nation #0592,592,x,Qmeh53xFm54YujZaMhfgKjP5dHfSy9m97hRnK29F7q8Ayo,88,115
Clay Nation #9835,9835,25000,QmcmL14u1rmUWjW5iN1aUzfetJ8Y4TY7ZHRHUDeu1ki3wg,88,116
Clay Nation #4779,4779,x,QmZtoUuowGFP3gpWFEAE6qA5cobtxS6Vt1QDJ1uwMeGpqS,88,117
Clay Nation #1225,1225,x,QmSkHLEzoCf36cAFBEHi54y61NQQ2jzPigHUjdzbbsFSrQ,88,118
Clay Nation #2198,2198,x,QmXATnTKNrhLgqB1XXGjSRWCVRMCaDTTEGXtYF5gps2cjE,88,119
Clay Nation #1014,1014,35000,QmTdy5ap1SkJ29pz6gtNFiu3ThHupsz3D7cJyEhFu6WAdF,88,120
Clay Nation #0408,408,x,QmQkVXBDmdEq5BwDZitLDrPnaXJqdtTUvrY9feVkSG4F7n,88,121
Clay Nation #7293,7293,x,QmSqbQjv7dGZ7aAAWFBk5KZUrGv1Li9qFRJWBesUZfcLPL,88,122
Clay Nation #5794,5794,x,QmZQAX9aRBJxe8KvKuEPc4f4GmpTkyjr8wwd329HF1vWw2,88,123
Clay Nation #5270,5270,x,QmebHnVuKJ7ykCbKdUyr7LVSKc4purbGv9SjGPWKeG6Ubz,88,124
Clay Nation #8212,8212,14997,QmU4M6oBzeRnBhjSYwcV6fhQF32MKX43Gv2ofhknUSUsYB,88,125
Clay Nation #5081,5081,33333,QmQ2AiCGxiNAYLEpgK84w31txcfL4RpQKPDeKTqY7tzkxz,88,126
Clay Nation #5993,5993,x,QmPrMJcRj6YPfgWDHY4Rxz4WziMjntNjMZR4G15QMPZkUD,88,127
Clay Nation #4285,4285,13890,QmZUDDzocpj8fzJeRWurFJRaQteQpT2SgHirfw6qpg64gF,88,128
Clay Nation #8009,8009,x,QmScurfsBdA6DH8oiScXeV1e1XqyrdFPQWfcpN6jucmpCm,88,129
Clay Nation #1852,1852,x,QmcZ3akXWybeZAzhKoazKzbbPzjGL56Awj4tJWcdB92dLh,88,130
Clay Nation #4682,4682,100000,QmZ9kMuZPRhSuYsaee8fqxs3ymtJZWC2PcthMBUgNKWyZY,88,131
Clay Nation #3560,3560,25000,QmdJwyDGPWiaoYUXpsoYxDWAbS6QSz7hm9j6m7GKk1kfS4,88,132
Clay Nation #3549,3549,x,QmThE7hzXzNRGfJNNoEh8r5v77m6z2EF7KQKogiSkjwKzk,88,133
Clay Nation #8724,8724,16000,QmR6oYBgFB2FoAGxpxmZwfJsMQ4WkomPPukbTnFG9Jre1K,88,134
Clay Nation #6657,6657,25000,QmdHSvaMvDvfm9XwTSpzJp7fFb3DaY4ekxg149pCtYHGmm,88,135
Clay Nation #2444,2444,19420,QmdercVCBiXhfTXxcMFytsv3vF3ebZtoupaUn4EcmCNPG3,88,136
Clay Nation #8312,8312,x,QmbbkDgDEKH7uvAbkaR1nBy9yiXcT6fc15Uqqt9YfSTDnX,88,137
Clay Nation #8275,8275,25000,QmRkKGWJfTDhDPDNMoD5HBESDf6u4ttBH3CzBwytADP4LH,88,138
Clay Nation #8033,8033,x,QmWMi2QJbP3PL4PT7FDmno6q4gheZhZu9UrVtGCQg95mTT,88,139
Clay Nation #1061,1061,9000,QmcQaYNtYcZqNQWwqwn9s7DU1NYVRDSwfbYYnGkPoxUnLB,88,140
Clay Nation #4023,4023,x,QmXaYSjfFdTfuMCHnWWsNekt5UiKRtESxbALzzmLR4icGr,88,141
Clay Nation #6313,6313,x,QmUyfHHE3cLcJbQ6eRSnFqd4EYZWGk6LF9TZciFD71Do8K,88,142
Clay Nation #6557,6557,20000,QmPeoSeaQTRPkAKJ2CWtAvKmUgNcq3HcCYDoJ1quWnBJnn,88,143
Clay Nation #4320,4320,x,QmSF7m6xRJve6qmEsKunMSW24Go42izgHvZnuR6PLNShRF,88,144
Clay Nation #2336,2336,x,QmctLB1Fys6io1GR4zKitLXQRsaWn7FDzdVMZi9CD1isuz,88,145
Clay Nation #4931,4931,x,QmX6t4uUGA6RHT3kixfbyCAaD6ehNkTfKhnxnaWBzqBcZX,88,146
Clay Nation #8358,8358,x,QmNnjA2AjHPqtZJz1twhnmeviLfegakBgXYkV59r6VfLGZ,88,147
Clay Nation #2883,2883,50000,QmViS2PY28ALzNBAjVfK5FvR6WXacSSVkA7VUZz7iUgBhQ,88,148
Clay Nation #0980,980,x,QmdyP6PLRu6wL1AT3zhB7C3B1due14kRAtvLwjmms4XReD,88,149
Clay Nation #7451,7451,x,QmW87Yg3p3TJr7n2METqT8tnW1xEg8VRD7mVmS7ae98dC6,88,150
Clay Nation #4992,4992,x,Qmcf7bSE38zBVB5UBu6YADXLXochGtfNgSxm9MkYMRoGhg,88,151
Clay Nation #7750,7750,x,QmecpAS7BACK9MTkvZcQ1psdD1EnhZiC8uSB7PydhY2FRB,88,152
Clay Nation #7964,7964,75000,QmSvPsHuxowaLXb7YNpwePzR4Zv76VZsg3WC3MAaZCu4dr,88,153
Clay Nation #6029,6029,x,QmTwEURVgQ245Rhe8LBSxm1icpp2Q9HVibnpVeuZCFgUGb,88,154
Clay Nation #4363,4363,x,QmNvdfmJSfw3fENxYmmYVFDr8Pu83xnGNAdJTQ37nEgfTw,88,155
Clay Nation #5019,5019,88888,QmcWLBDqGwxLDVirVANgLxREitbDDxWy69NeBE7Wp36hh7,88,156
Clay Nation #9546,9546,x,QmXA5WCf4S9qmpcCLN5LjNGfwxaG4h5R2ns1etGvuMePzC,88,157
