name,id,price,hash,rarityScore,rarityRank,Body,Face,Headwear,Background
Naru 09363,9363,x,QmULhuonVSxvsb2BT6F9N3XsHjUmqUkLBKJASxFqaqgm2m,226,2415,,,,
Naru 09991,9991,x,QmQ6h4QkqWLRvayQuMkGt8sPh9GnUvKfPKisnqfLTbwfYz,226,2416,,,,
Naru 05381,5381,589,QmZLW3v2uHyscruJKDHG36kbHAN2waiTHoR5qhbwpEM5DN,226,2417,Alien Suit,Text,Flat Cap,Teal
Naru 08520,8520,x,QmPA61HBxU6yv7GiUwDGUdU5y85YDinwgQJfFXgyp5VyY9,226,2418,,,,
Naru 01620,1620,x,QmWUfBG52se3ZnEY4Dj48bzR56bAxjwB31DJHDVFBCQ6Ac,226,2419,,,,
Naru 07075,7075,896,QmNNvLfEev2hE8VqEWwyuadfKsgPfowrdmJR38g7TpvZDu,226,2420,Boxing Gear,Naughty,Daisy Chain,Green
Naru 05345,5345,x,QmYc5uRMGKW2niuaaDLcFapwd7YgWgoBCNFoT9Fm5ME4ZA,226,2421,,,,
Naru 09471,9471,x,QmVhudppRkfb7iWg8AvL1AGJTmmRDkUNfXM2yQ4g8LRcFi,225,2422,,,,
Naru 00770,770,850,QmaMzFbveToKbEEvbA2devtwAbXexcRufRND9kiR5qStNt,225,2423,Umbrella,Starstruck,Kings Crown,Light Blue
Naru 09280,9280,x,QmeTsPLVMPFs8ArUMHLKa89wfixREiwQqRvTLPnjW2nTGH,225,2424,,,,
Naru 01717,1717,x,QmdpKpkYxuX1ssA466UVvVSA5tm2pDTTyrCkHCjf1LHgwN,225,2425,,,,
Naru 02816,2816,x,QmdrhU4Ma8SKiLzE1TnSWrJXisgVUM9fkZ6fgct6vaLCV8,225,2426,,,,
Naru 03362,3362,x,QmU639MVazE5LdqhrLWiRqScE1FH1ed6wqjLP7yGVNmNNd,225,2427,,,,
Naru 08845,8845,x,QmTChWVYK3PwHGdYkB2CgBC4jwYNhHxx2kKgHJTMMFaUwX,225,2428,,,,
Naru 02707,2707,x,Qmb6YTFxnGCukL21zL3Hg4RhBRpggxX6aWNYLACKEdUCjL,225,2429,,,,
Naru 01972,1972,x,QmZUwcWsUmYTYYoCwSNeZS3GtZXsuPTRZ5wheRB6hpLEs5,225,2430,,,,
Naru 05758,5758,580,QmfRAJeY661ALFMHEbk3mpfVeqoQXh5EsK1LY7AJWb13G9,225,2431,Varsity Jacket,Lovestruck,Party Hat,Teal
Naru 06780,6780,x,QmfQwHWGfz1TS14BTBF11ABywrnuQeFHPtarWsfYsehvCE,225,2432,,,,
Naru 05592,5592,1200,QmYbW47x548g4z61cX2RYeHJfAbHnNCfT7aow1grkrdKRK,225,2433,Pyjama Shirt,Starstruck,Kings Crown,Purple
Naru 01279,1279,x,QmbeZM5pgec64nexuj8z4RP8vQz8YAPF6YeQRTD6YLnWAt,225,2434,,,,
Naru 01634,1634,x,QmW7K8ZUYG4YXv3sEuNAJgRKHbSpFPrvwph4Jc27CdfSLd,225,2435,,,,
Naru 05837,5837,1997,QmYErsZkzyVqHhAdgTiYsEnj7Cyf8bDLDy6Uvs3XNWs32m,225,2436,Bunch of Flowers,Cyber Happy,Cowboy Hat,Dark
Naru 03244,3244,x,Qma6sim4DGnSS1XfMNurdFGgpyaUDJ7aK9Np8B1r9G4EQD,225,2437,,,,
Naru 04611,4611,x,QmeJjsjgPR4oUnYFei2f9vizE3k9Tx5tPMBxiYCZxQTc8f,225,2438,,,,
Naru 08299,8299,800,QmTCcxKHfy6Q3P17HN3AzUhrq1YrATj3hWntoZMuFCfYqK,224,2439,Turtleneck Suit,Dizzy,Blue Bucket Hat,Yellow
